"country","state_code","city","zip_code","lat","long","metro_code","area_code"
US,OH,Akron,44222,41.0814,-81.519,510,330
US,NY,Albany,12128,42.6526,-73.7562,532,518
US,NY,Albany,12162,42.6526,-73.7562,532,518
US,WA,Allyn,98525,47.3856,-122.8276,819,815
US,MA,Andover,1899,42.6354,-70.8791,506,919
US,MD,Annapolis,20765,38.9785,-76.4922,511,410
US,AZ,"Apache Junction",85117,33.4151,-111.5496,753,480
US,AZ,"Apache Junction",85178,33.4151,-111.5496,753,480
US,VA,Arlington,22240,38.8566,-77.0518,511,212
US,GA,Atlanta,30383,33.749,-84.388,524,212
US,TX,Austin,7804,30.2672,-97.7431,635,512
US,MD,Baltimore,21022,39.2904,-76.6122,512,410
US,LA,"Baton Rouge",70823,30.5159,-91.0804,716,225
US,LA,"Baton Rouge",70891,30.4507,-91.1546,716,225
US,WV,Beckley,25873,37.7782,-81.1882,559,304
US,TX,Belton,76533,31.056,-97.4644,625,254
US,CA,"Big Bear Lake",66666,34.2439,-116.9114,803,666
US,VA,"Big Stone Gap",90219,36.8677,-82.7745,531,209
US,OH,Boardman,44513,41.0242,-80.6629,536,330
US,NY,"Borough Of Bronx",,40.8499,-73.8664,,
US,CO,Boulder,80300,40.015,-105.2706,751,212
US,CO,Boulder,80329,40.0878,-105.3735,751,303
US,NY,Brooklyn,66666,40.6501,-73.9496,501,666
US,NY,Buffalo,14276,42.7684,-78.8871,514,716
US,AZ,"Bullhead City",86427,35.1478,-114.5683,753,928
US,GA,Cairo,31728,30.8575,-84.229,530,229
US,MS,"Calhoun City",38839,33.8554,-89.3115,673,662
US,PA,"Camp Hill",17091,40.1367,-77.2428,566,717
US,CA,Carmel-by-the-sea,93921,36.5552,-121.9233,828,831
US,AZ,Chandler,84249,33.3062,-111.8413,753,480
US,NC,Charlotte,28200,35.2271,-80.8431,517,931
US,VT,"Chester Depot",5144,43.2866,-72.6345,506,
US,OH,Cincinnati,45298,39.1668,-84.5382,515,513
US,FL,Clearwater,37759,27.9658,-82.8001,539,727
US,FL,Clearwater,34629,27.9658,-82.8001,539,727
US,FL,Clearwater,34630,27.9658,-82.8001,539,727
US,TN,Cokercreek,37314,35.4595,-84.3436,557,423
US,TX,"College Station",77881,30.628,-96.3344,625,979
US,TN,Collegedale,32753,35.0531,-85.0502,534,386
US,SC,Columbia,29237,34.0007,-81.0348,546,803
US,SC,Columbia,29227,34.006,-80.9708,546,212
US,WI,Comfort,,44.775,-92.0354,,
US,CA,Cupertino,95104,37.323,-122.0322,807,408
US,FL,"Daytona Beach",32198,29.0227,-81.1722,534,386
US,IA,"Des Moines",50981,41.6727,-93.5722,679,515
US,MI,Detroit,48260,42.2399,-83.1508,505,313
US,MN,Eagan,5512,44.8041,-93.1669,,
US,ME,"East Parsonfield",4028,43.7653,-70.9179,500,207
US,TX,"El Paso",79951,31.7587,-106.4869,765,915
US,MT,Ennis,59740,45.3488,-111.7297,754,406
US,OR,Eugene,66666,44.0521,-123.0867,801,666
US,CA,Fresno,93636,36.7477,-119.7724,866,559
US,NC,Fuquay-varina,,35.5843,-78.8,,
US,MD,Gaithersburg,20813,39.1434,-77.2014,511,708
US,TX,Gatesville,76598,31.3902,-97.7993,625,254
US,CA,Goleta,93199,34.2628,-119.8486,855,305
US,CA,"Grass Valley",95712,39.2191,-121.0611,862,530
US,IN,"Grissom Afb",46971,40.781,-86.0164,527,765
US,FL,"Hallandale Beach",,25.9812,-80.1484,,
US,CT,Hamden,6495,41.3959,-72.8968,533,203
US,NJ,Harrison,7118,40.7465,-74.1563,501,862
US,AZ,Hayden,85192,33.0048,-110.7854,753,520
US,NC,Hickory,66666,35.7332,-81.3412,517,666
US,WV,Huntington,25507,38.4192,-82.4451,564,304
US,CA,"Huntington Beach",92645,33.6603,-117.9992,803,949
US,SD,Huron,57399,44.4143,-98.2795,725,636
US,CA,Irvine,92658,33.6695,-117.8231,803,949
US,NY,Jamaica,11440,40.6915,-73.8057,501,628
US,TN,"Johnson City",37603,36.3134,-82.3535,531,423
US,FL,"Juno Beach",,26.8798,-80.0534,,
US,HI,Kailua-kona,,19.6406,-155.9956,,
US,MO,"Kansas City",64107,39.0997,-94.5786,616,816
US,MO,"Kansas City",64172,39.0997,-94.5786,616,816
US,PA,Kent,15752,40.5416,-79.2832,508,724
US,TN,Knoxville,37991,35.9606,-83.9207,557,865
US,TN,Knoxville,37999,35.9901,-83.9622,557,865
US,GA,"La Grange",30261,33.0393,-85.0313,524,404
US,PA,Langhorne,19049,40.3286,-75.1028,504,215
US,FL,Largo,34647,27.9095,-82.7873,539,727
US,FL,Largo,34645,27.9095,-82.7873,539,727
US,FL,Largo,34635,27.9095,-82.7873,539,727
US,NV,"Las Vegas",89044,36.175,-115.1372,839,702
US,NV,"Las Vegas",89081,36.175,-115.1372,839,702
US,NV,"Las Vegas",89085,36.175,-115.1372,839,702
US,NV,"Las Vegas",89086,36.175,-115.1372,839,702
US,NY,Latham,12111,42.6149,-73.9708,532,518
US,GA,Lawrenceville,30221,33.9562,-83.988,524,770
US,AR,"Little Rock",72119,34.7465,-92.2896,693,501
US,CA,London,"e14 9",36.4761,-119.4432,,
US,WA,"Long Beach",98644,46.3523,-124.0543,819,360
US,KY,Louisville,40027,38.2542,-85.7594,529,502
US,WI,Madison,53794,43.0696,-89.4239,669,608
US,HI,Makawao,96798,20.8569,-156.3131,744,808
US,VA,Manassas,22013,38.751,-77.4753,511,202
US,FL,"Marco Island",33937,25.9412,-81.7184,571,239
US,OH,Marion,43307,40.5694,-83.1393,535,740
US,PA,"Mc Knightstown",17343,39.8645,-77.3368,511,717
US,SC,Mcbee,,34.469,-80.2559,,
US,NV,Mcdermitt,,41.9974,-117.7182,,
US,TN,Mcminnville,,35.6834,-85.77,,
US,FL,Miami,33206,25.7743,-80.1937,528,305
US,FL,Miramar,,25.9873,-80.2323,,
US,CA,"Mission Viejo",92637,33.6,-117.672,803,949
US,CA,Monrovia,91008,34.1481,-117.9989,803,626
US,IL,Naperville,69564,41.7859,-88.1473,602,630
US,FL,Naples,33939,26.142,-81.7948,571,571
US,VA,Nester,,36.7043,-80.5748,,
US,MA,"New Bedford",2470,41.6362,-70.9342,521,774
US,WI,"New Berlin",53416,42.9764,-88.1084,617,262
US,WI,"New Holstein",53062,44.0679,-88.2231,658,920
US,NJ,Newark,7188,40.7918,-74.2452,501,973
US,VA,Norfolk,23500,36.8468,-76.2852,544,45
US,NV,"North Las Vegas",89082,36.1989,-115.1175,839,702
US,RI,"North Providence",39300,41.8615,-71.4575,521,501
US,CT,Norwich,6338,41.5243,-72.0759,533,860
US,WA,Olympia,98509,47.0379,-122.9007,819,360
US,NE,Omaha,68109,41.2586,-95.9378,652,402
US,FL,Orlando,32885,28.5383,-81.3792,534,407
US,PA,Orviston,16864,41.0991,-77.7812,574,570
US,KY,Paintsville,41268,37.8145,-82.8071,564,606
US,FL,"Palm Coast",32143,29.585,-81.2078,534,386
US,FL,"Palm Harbor",34681,28.0781,-82.7637,539,727
US,NJ,Parsippany,7878,40.8579,-74.426,501,973
US,KY,Pellville,42364,37.7523,-86.8136,529,
US,IL,Peoria,61644,40.7653,-89.5692,675,309
US,AZ,"Petrified Forest Natl Pk",86028,34.7914,-109.879,753,928
US,UT,"Pleasant Grove",66666,40.3641,-111.7385,770,666
US,PA,"Pocono Lake Preserve",18348,41.1069,-75.4792,577,
US,MT,Polebridge,59928,48.8542,-114.4721,881,772
US,OH,"Port Clinton",43433,41.512,-82.9377,547,458
US,NH,Portsmouth,215,43.0059,-71.0132,506,302
US,RI,Providence,66666,41.824,-71.4128,521,666
US,WI,Racine,53407,42.7312,-87.7828,617,262
US,NC,Raleigh,66666,35.7721,-78.6386,560,666
US,CA,"Rancho Cucamonga",91785,34.1064,-117.5931,803,909
US,MA,Raynham,2676,41.9487,-71.0731,521,508
US,CA,Sacramento,94245,38.5816,-121.4944,862,916
US,CA,"San Diego",92180,32.7153,-117.1573,825,619
US,CA,"San Jose","w1d 5",37.3394,-121.895,807,408
US,CA,"Santa Ana",92728,33.7456,-117.8678,803,714
US,CA,"Santa Ana",92613,33.7456,-117.8678,803,714
US,IL,Schaumburg,60169,42.0334,-88.0834,602,847
US,VA,Seaview,23429,37.2618,-75.9458,544,
US,MD,"Silver Spring",20900,38.9907,-77.0261,511,301
US,IL,Skokie,50077,42.0334,-87.7334,602,847
US,MA,Somerville,2413,42.3876,-71.0995,506,617
US,AZ,"Spring Valley",,34.345,-112.159,,
US,SD,Sturgis,57741,44.4097,-103.5091,764,605
US,SC,Summerville,29486,33.0185,-80.1757,519,843
US,CA,Sunnyvale,94091,37.3688,-122.0363,807,408
US,AZ,Superior,85173,33.2939,-111.0962,753,520
US,GA,Suwanee,30174,34.0515,-84.0713,524,3
US,WA,Tacoma,98493,47.0662,-122.1132,819,509
US,AK,Takotna,99675,62.9886,-156.0642,743,907
US,NJ,Teterboro,7699,40.8598,-74.0593,501,201
US,MI,Troy,48308,42.6056,-83.1499,505,248
US,FL,Venice,34272,27.0998,-82.4543,539,941
US,VA,Villamont,24178,37.3954,-79.7762,573,
US,DC,Washington,20098,38.8933,-77.0146,511,202
US,PA,Wilkes-barre,,41.2459,-75.8813,,
US,PA,Williamsport,17769,41.2412,-77.0011,577,570
US,ME,"York Beach",3911,43.1715,-70.6089,500,207